time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
97.40972,0.029979246,30.588531,97.40972,0.029979246,19.156836,97.40972,37.925922,97.40972,39.055557,97.40972,22.0,97.40972,39.77778,97.40972,2.5034242,97.40972,186.22223,97.40972,962.7083,97.40972,22.90184,97.40972,0.0,97.40972,0.0,97.40972,0.0,97.40972,0.44818056,97.40972,0.46430746,97.40972,32.043335,97.40972,33.03111,97.40972,33.083332,97.40972,20240406,97.40972,095000,97.40972,2024.0,97.40972,4.0,97.40972,6.0,97.40972,9.0,97.40972,50.0,97.40972,0.0,97.40972,-1.0,97.40972,-999.0,97.40972,-999.0,97.40972,-999.0,97.40972,4.351778,97.40972,2500.0,97.40972,0.029979246,4020.3645,97.40972,0.029979246,2367.264,97.40972,,97.40972,,97.40972,,97.40972,,97.40972,,97.40972,,97.40972,,97.40972,,97.40972,0.11991698,0.5335856,97.40972,0.11991698,0.048350845,,,,,,,,,,,,,97.40972,0.0,0.0,,97.40972,0.0,1.349066,97.40972,0.11991698,0.449937,97.40972,0.11991698,29.479723,97.40972,0.11991698,0.0149978995,97.40972,0.11991698,0.08308627,97.40972,0.11991698,6.0,97.40972,0.0,WaterCloud,97.40972,30.0,97.40972,
97.40972,0.05995849,23.141127,97.40972,0.05995849,3.2009075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.05995849,3026.622,97.40972,0.05995849,346.5348,,,,,,,,,,,,,,,,,97.40972,0.14989623,0.5205993,97.40972,0.14989623,0.045216437,,,,,,,,,,,,,97.40972,0.0,1.0,,97.40972,1.0,,97.40972,0.14989623,0.45351976,97.40972,0.14989623,29.495487,97.40972,0.14989623,0.015117326,97.40972,0.14989623,0.079912,97.40972,0.14989623,6.0,97.40972,1.0,MixedCloud,,,,
97.40972,0.08993774,21.787758,97.40972,0.08993774,2.6970997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.08993774,2846.1758,97.40972,0.08993774,282.76236,,,,,,,,,,,,,,,,,97.40972,0.17987548,0.5078863,97.40972,0.17987548,0.042703517,,,,,,,,,,,,,97.40972,0.0,2.0,,97.40972,2.0,,97.40972,0.17987548,0.45751184,97.40972,0.17987548,29.513052,97.40972,0.17987548,0.015250396,97.40972,0.17987548,0.077560246,97.40972,0.17987548,6.0,97.40972,2.0,Ice/dust/ash,,,,
97.40972,0.11991698,20.5682,97.40972,0.11991698,2.3941247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.11991698,2683.5552,97.40972,0.11991698,244.37068,,,,,,,,,,,,,,,,,97.40972,0.20985472,0.49698797,97.40972,0.20985472,0.04051821,,,,,,,,,,,,,97.40972,1.0,0.0,,97.40972,3.0,,97.40972,0.20985472,0.46336862,97.40972,0.20985472,29.538822,97.40972,0.20985472,0.015445622,97.40972,0.20985472,0.07538135,97.40972,0.20985472,6.0,97.40972,3.0,Rain/Dust,,,,
97.40972,0.14989623,19.350245,97.40972,0.14989623,2.171843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.14989623,2520.9702,97.40972,0.14989623,216.15811,,,,,,,,,,,,,,,,,97.40972,0.23983397,0.4860912,97.40972,0.23983397,0.037912987,,,,,,,,,,,,,97.40972,1.0,1.0,,97.40972,4.0,,97.40972,0.23983397,0.46948135,97.40972,0.23983397,29.565718,97.40972,0.23983397,0.015649378,97.40972,0.23983397,0.07235387,97.40972,0.23983397,6.0,97.40972,4.0,Molecular,,,,
97.40972,0.17987548,18.166237,97.40972,0.17987548,1.9936635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.17987548,2362.6006,97.40972,0.17987548,193.69554,,,,,,,,,,,,,,,,,97.40972,0.2698132,0.484248,97.40972,0.2698132,0.03631628,,,,,,,,,,,,,97.40972,1.0,2.0,,97.40972,5.0,,97.40972,0.2698132,0.48592737,97.40972,0.2698132,29.638083,97.40972,0.2698132,0.016197577,97.40972,0.2698132,0.06976212,97.40972,0.2698132,6.0,97.40972,5.0,CleanAerosol,,,,
97.40972,0.20985472,17.033792,97.40972,0.20985472,1.842362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.20985472,2211.4956,97.40972,0.20985472,174.7127,,,,,,,,,,,,,,,,,97.40972,0.29979247,0.4838525,97.40972,0.29979247,0.034889456,,,,,,,,,,,,,97.40972,2.0,0.0,,97.40972,6.0,,97.40972,0.29979247,0.50539196,97.40972,0.29979247,29.723724,97.40972,0.29979247,0.016846398,97.40972,0.29979247,0.06725504,97.40972,0.29979247,6.0,97.40972,6.0,PollutedAerosol,,,,
97.40972,0.23983397,15.902008,97.40972,0.23983397,1.6880856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.23983397,2060.789,97.40972,0.23983397,155.04225,,,,,,,,,,,,,,,,,97.40972,0.3297717,0.49088827,97.40972,0.3297717,0.034533348,,,,,,,,,,,,,97.40972,2.0,1.0,,97.40972,7.0,,97.40972,0.3297717,0.5347533,97.40972,0.3297717,29.852913,97.40972,0.3297717,0.017825114,97.40972,0.3297717,0.065726966,97.40972,0.3297717,6.0,97.40972,7.0,Undetected,,,,
97.40972,0.2698132,14.822445,97.40972,0.2698132,1.5560166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.2698132,1916.7151,97.40972,0.2698132,138.20613,,,,,,,,,,,,,,,,,97.40972,0.35975096,0.50432587,97.40972,0.35975096,0.031206505,,,,,,,,,,,,,97.40972,2.0,2.0,,97.40972,8.0,,97.40972,0.35975096,0.57660913,97.40972,0.35975096,30.037083,97.40972,0.35975096,0.019220304,97.40972,0.35975096,0.058273368,97.40972,0.35975096,6.0,,,,,,,
97.40972,0.29979247,13.79356,97.40972,0.29979247,1.4427934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.40972,0.29979247,1779.3723,97.40972,0.29979247,123.847565,,,,,,,,,,,,,,,,,97.40972,0.3897302,0.5138713,97.40972,0.3897302,0.033417854,,,,,,,,,,,,,97.40972,3.0,0.0,,97.40972,9.0,,97.40972,0.3897302,0.61713666,97.40972,0.3897302,30.2154,97.40972,0.3897302,0.02057122,97.40972,0.3897302,0.0610689,97.40972,0.3897302,6.0,,,,,,,
