time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
127.0625,0.029979246,30.308895,127.0625,0.029979246,18.809416,127.0625,28.172842,127.0625,30.086422,127.0625,25.0,127.0625,61.11111,127.0625,0.0,127.0625,69.0,127.0625,970.3089,127.0625,21.767342,127.0625,0.0,127.0625,0.0,127.0625,0.0,127.0625,0.62610286,127.0625,0.64465123,127.0625,22.975555,127.0625,23.776667,127.0625,23.276665,127.0625,20240506,127.0625,013000,127.0625,2024.0,127.0625,5.0,127.0625,6.0,127.0625,1.0,127.0625,30.0,127.0625,0.0,127.0625,-1.0,127.0625,-999.0,127.0625,-999.0,127.0625,-999.0,127.0625,3.994111,127.0625,2500.0,127.0625,0.029979246,3369.1943,127.0625,0.029979246,2025.2756,127.0625,,127.0625,,127.0625,,127.0625,,127.0625,,127.0625,,127.0625,,127.0625,,127.0625,0.11991698,0.56457394,127.0625,0.11991698,0.04170349,,,,,,,,,,,,,127.0625,0.0,0.0,,127.0625,0.0,0.7195019,127.0625,0.11991698,0.38905704,127.0625,0.11991698,29.21185,127.0625,0.11991698,0.012968566,127.0625,0.11991698,0.06879148,127.0625,0.11991698,6.0,127.0625,0.0,WaterCloud,127.0625,30.0,127.0625,
127.0625,0.05995849,22.937244,127.0625,0.05995849,2.94791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.05995849,2533.009,127.0625,0.05995849,256.76102,,,,,,,,,,,,,,,,,127.0625,0.14989623,0.54788876,127.0625,0.14989623,0.03920079,,,,,,,,,,,,,127.0625,0.0,1.0,,127.0625,1.0,,127.0625,0.14989623,0.38754094,127.0625,0.14989623,29.20518,127.0625,0.14989623,0.012918031,127.0625,0.14989623,0.06676828,127.0625,0.14989623,6.0,127.0625,1.0,MixedCloud,,,,
127.0625,0.08993774,21.477272,127.0625,0.08993774,2.4645696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.08993774,2366.661,127.0625,0.08993774,202.8472,,,,,,,,,,,,,,,,,127.0625,0.17987548,0.5195779,127.0625,0.17987548,0.03580217,,,,,,,,,,,,,127.0625,0.0,2.0,,127.0625,2.0,,127.0625,0.17987548,0.37633163,127.0625,0.17987548,29.15586,127.0625,0.17987548,0.012544388,127.0625,0.17987548,0.06446287,127.0625,0.17987548,6.0,127.0625,2.0,Ice/dust/ash,,,,
127.0625,0.11991698,20.162323,127.0625,0.11991698,2.1903615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.11991698,2217.914,127.0625,0.11991698,172.31038,,,,,,,,,,,,,,,,,127.0625,0.20985472,0.46170256,127.0625,0.20985472,0.030770276,,,,,,,,,,,,,127.0625,1.0,0.0,,127.0625,3.0,,127.0625,0.20985472,0.33702672,127.0625,0.20985472,28.982918,127.0625,0.20985472,0.011234223,127.0625,0.20985472,0.06250271,127.0625,0.20985472,6.0,127.0625,3.0,Rain/Dust,,,,
127.0625,0.14989623,18.879532,127.0625,0.14989623,2.0090137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.14989623,2072.507,127.0625,0.14989623,152.15492,,,,,,,,,,,,,,,,,127.0625,0.23983397,0.4507381,127.0625,0.23983397,0.028770706,,,,,,,,,,,,,127.0625,1.0,1.0,,127.0625,4.0,,127.0625,0.23983397,0.33850697,127.0625,0.23983397,28.989431,127.0625,0.23983397,0.011283564,127.0625,0.23983397,0.060018472,127.0625,0.23983397,6.0,127.0625,4.0,Molecular,,,,
127.0625,0.17987548,17.257504,127.0625,0.17987548,1.8253903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.17987548,1887.0503,127.0625,0.17987548,131.701,,,,,,,,,,,,,,,,,127.0625,0.2698132,0.50741297,127.0625,0.2698132,0.030150456,,,,,,,,,,,,,127.0625,1.0,2.0,,127.0625,5.0,,127.0625,0.2698132,0.39637187,127.0625,0.2698132,29.244036,127.0625,0.2698132,0.013212397,127.0625,0.2698132,0.056103177,127.0625,0.2698132,6.0,127.0625,5.0,CleanAerosol,,,,
127.0625,0.20985472,14.764779,127.0625,0.20985472,1.6093858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.20985472,1603.0518,127.0625,0.20985472,107.6006,,,,,,,,,,,,,,,,,127.0625,0.29979247,0.5835284,127.0625,0.29979247,0.032454565,,,,,,,,,,,,,127.0625,2.0,0.0,,127.0625,6.0,,127.0625,0.29979247,0.47277722,127.0625,0.29979247,29.580221,127.0625,0.29979247,0.015759239,127.0625,0.29979247,0.052720785,127.0625,0.29979247,6.0,127.0625,6.0,PollutedAerosol,,,,
127.0625,0.23983397,13.775904,127.0625,0.23983397,1.4993455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.23983397,1493.6799,127.0625,0.23983397,95.26928,,,,,,,,,,,,,,,,,127.0625,0.3297717,0.6207278,127.0625,0.3297717,0.032629993,,,,,,,,,,,,,127.0625,2.0,1.0,,127.0625,7.0,,127.0625,0.3297717,0.5295666,127.0625,0.3297717,29.830091,127.0625,0.3297717,0.01765222,127.0625,0.3297717,0.049995523,127.0625,0.3297717,5.0,127.0625,7.0,Undetected,,,,
127.0625,0.2698132,14.447181,127.0625,0.2698132,1.4768556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.2698132,1567.8705,127.0625,0.2698132,92.826355,,,,,,,,,,,,,,,,,127.0625,0.35975096,0.5776792,127.0625,0.35975096,0.029740347,,,,,,,,,,,,,127.0625,2.0,2.0,,127.0625,8.0,,127.0625,0.35975096,0.50909746,127.0625,0.35975096,29.74003,127.0625,0.35975096,0.016969915,127.0625,0.35975096,0.04898367,127.0625,0.35975096,5.0,,,,,,,
127.0625,0.29979247,15.3946295,127.0625,0.29979247,1.4743866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0625,0.29979247,1671.0812,127.0625,0.29979247,92.51962,,,,,,,,,,,,,,,,,127.0625,0.3897302,0.57236046,127.0625,0.3897302,0.028976223,,,,,,,,,,,,,127.0625,3.0,0.0,,127.0625,9.0,,127.0625,0.3897302,0.5248296,127.0625,0.3897302,29.809252,127.0625,0.3897302,0.01749432,127.0625,0.3897302,0.048169892,127.0625,0.3897302,5.0,,,,,,,
