time,range_raw,copol_raw,time,range_raw,crosspol_raw,time,weather_inside_temperature,time,weather_outside_temperature,time,weather_inside_humidity,time,weather_outside_humidity,time,weather_wind_speed,time,weather_wind_direction,time,weather_barometric_pressure,time,weather_dew_point,time,weather_rain_rate,time,elevation_angle,time,azimuth_angle,time,copol_background,time,crosspol_background,time,telescope_temperature,time,detector_temperature,time,laser_temperature,time,date_yyyyMMdd,time,time_hhmmss,time,year,time,month,time,day,time,hour,time,minute,time,second,time,aod_age_secs,time,latitude,time,longitude,time,altitude,time,laser_energy,time,syncpulse,time,range_raw,copol_snr,time,range_raw,crosspol_snr,time,aeronet_aod,time,sda_aod_totals,time,sda_aod_fines,time,sda_aod_coarses,time,sda_ae_totals,time,sda_ae_fines,time,sda_dae_totals,time,sda_dae_fines,time,range_nrb,copol_nrb,time,range_nrb,crosspol_nrb,time,range_radiometer,radiometer_temperature,time,range_radiometer,radiometer_vaporDensity,time,range_radiometer,radiometer_liquid,time,range_radiometer,radiometer_relativeHumidity,time,number_of_clouds,number_of_cloud_outlines,clouds,time,number_of_clouds,pbls,time,range_vbp,extinction_coefficient,time,range_vbp,mass_concentration,time,range_vbp,VBP,time,range_nrb,depolarization_ratio,time,range_nrb,particle_type,time,number_of_particle_type,particle_type_mapping,time,lidar_ratio,time,aod
61.65,0.029979246,25.611795,61.65,0.029979246,17.959942,61.65,30.117283,61.65,25.487654,61.65,22.0,61.65,55.77778,61.65,0.0,61.65,279.0,61.65,970.61005,61.65,16.002657,61.65,0.0,61.65,0.0,61.65,0.0,61.65,0.0005927805,61.65,0.00053876324,61.65,27.14222,61.65,27.543331,61.65,27.73,61.65,20240301,61.65,153600,61.65,2024.0,61.65,3.0,61.65,1.0,61.65,15.0,61.65,36.0,61.65,0.0,61.65,-1.0,61.65,-999.0,61.65,-999.0,61.65,-999.0,61.65,4.2064443,61.65,2500.0,61.65,0.029979246,95137.7,61.65,0.029979246,68621.37,61.65,,61.65,,61.65,,61.65,,61.65,,61.65,,61.65,,61.65,,61.65,0.11991698,0.3703304,61.65,0.11991698,0.025438484,,,,,,,,,,,,,61.65,0.0,0.0,,61.65,0.0,1.0492736,61.65,0.11991698,0.08108643,61.65,0.11991698,27.856781,61.65,0.11991698,0.0027028807,61.65,0.11991698,0.06427408,61.65,0.11991698,6.0,61.65,0.0,WaterCloud,61.65,30.0,61.65,
61.65,0.05995849,15.350691,61.65,0.05995849,1.5835043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.05995849,57001.67,61.65,0.05995849,6048.4956,,,,,,,,,,,,,,,,,61.65,0.14989623,0.3640282,61.65,0.14989623,0.024225695,,,,,,,,,,,,,61.65,0.0,1.0,,61.65,1.0,,61.65,0.14989623,0.07974676,61.65,0.14989623,27.850883,61.65,0.14989623,0.0026582256,61.65,0.14989623,0.062396295,61.65,0.14989623,6.0,61.65,1.0,MixedCloud,,,,
61.65,0.08993774,14.437513,61.65,0.08993774,1.2261045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.08993774,53637.492,61.65,0.08993774,4682.112,,,,,,,,,,,,,,,,,61.65,0.17987548,0.36551777,61.65,0.17987548,0.024225004,,,,,,,,,,,,,61.65,0.0,2.0,,61.65,2.0,,61.65,0.17987548,0.08107177,61.65,0.17987548,27.856716,61.65,0.17987548,0.0027023926,61.65,0.17987548,0.062157597,61.65,0.17987548,6.0,61.65,2.0,Ice/dust/ash,,,,
61.65,0.11991698,13.533184,61.65,0.11991698,1.0370073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.11991698,50293.043,61.65,0.11991698,3962.2825,,,,,,,,,,,,,,,,,61.65,0.20985472,0.367909,61.65,0.20985472,0.024191942,,,,,,,,,,,,,61.65,1.0,0.0,,61.65,3.0,,61.65,0.20985472,0.082736485,61.65,0.20985472,27.86404,61.65,0.20985472,0.0027578827,61.65,0.20985472,0.06169395,61.65,0.20985472,6.0,61.65,3.0,Rain/Dust,,,,
61.65,0.14989623,12.795597,61.65,0.14989623,0.9180425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.14989623,47550.625,61.65,0.14989623,3507.6233,,,,,,,,,,,,,,,,,61.65,0.23983397,0.3602534,61.65,0.23983397,0.02304224,,,,,,,,,,,,,61.65,1.0,1.0,,61.65,4.0,,61.65,0.23983397,0.080913365,61.65,0.23983397,27.856016,61.65,0.23983397,0.002697112,61.65,0.23983397,0.060118683,61.65,0.23983397,6.0,61.65,4.0,Molecular,,,,
61.65,0.17987548,12.335624,61.65,0.17987548,0.8579205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.17987548,45823.36,61.65,0.17987548,3275.7683,,,,,,,,,,,,,,,,,61.65,0.2698132,0.35951382,61.65,0.2698132,0.022514628,,,,,,,,,,,,,61.65,1.0,2.0,,61.65,5.0,,61.65,0.2698132,0.081480496,61.65,0.2698132,27.858513,61.65,0.2698132,0.0027160165,61.65,0.2698132,0.058932517,61.65,0.2698132,6.0,61.65,5.0,CleanAerosol,,,,
61.65,0.20985472,11.87278,61.65,0.20985472,0.8072587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.20985472,44092.984,61.65,0.20985472,3083.3684,,,,,,,,,,,,,,,,,61.65,0.29979247,0.35890958,61.65,0.29979247,0.02162048,,,,,,,,,,,,,61.65,2.0,0.0,,61.65,6.0,,61.65,0.29979247,0.082097076,61.65,0.29979247,27.861227,61.65,0.29979247,0.0027365694,61.65,0.29979247,0.056818776,61.65,0.29979247,6.0,61.65,6.0,PollutedAerosol,,,,
61.65,0.23983397,11.07388,61.65,0.23983397,0.72744304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.23983397,41134.58,61.65,0.23983397,2778.6729,,,,,,,,,,,,,,,,,61.65,0.3297717,0.36333254,61.65,0.3297717,0.021506269,,,,,,,,,,,,,61.65,2.0,1.0,,61.65,7.0,,61.65,0.3297717,0.08450805,61.65,0.3297717,27.871836,61.65,0.3297717,0.0028169353,61.65,0.3297717,0.055885416,61.65,0.3297717,6.0,61.65,7.0,Undetected,,,,
61.65,0.2698132,10.317417,61.65,0.2698132,0.66046405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.2698132,38331.785,61.65,0.2698132,2522.96,,,,,,,,,,,,,,,,,61.65,0.35975096,0.37277567,61.65,0.35975096,0.019496381,,,,,,,,,,,,,61.65,2.0,2.0,,61.65,8.0,,61.65,0.35975096,0.08875662,61.65,0.35975096,27.890528,61.65,0.35975096,0.0029585538,61.65,0.35975096,0.04970024,61.65,0.35975096,5.0,,,,,,,
61.65,0.29979247,9.570267,61.65,0.29979247,0.593128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.65,0.29979247,35556.55,61.65,0.29979247,2265.1208,,,,,,,,,,,,,,,,,61.65,0.3897302,0.38028035,61.65,0.3897302,0.021995004,,,,,,,,,,,,,61.65,3.0,0.0,,61.65,9.0,,61.65,0.3897302,0.09239172,61.65,0.3897302,27.906523,61.65,0.3897302,0.003079724,61.65,0.3897302,0.054675255,61.65,0.3897302,6.0,,,,,,,
